genero,rangoedad,estado,Actividad,condicion,grupoetnico,tipoevento,Ubicación,municipio,departamento,sitio,latitudcabecera,longitudcabecera,tipoarea,ano,mes,codigodanemunicipio,codigodanedepartamento
Hombre,Mayor de 18 anos,Herido,Fuerza publica,Fuerza publica,no,Sin informacion,"(0.704167, -76.443333)",PUERTO CAICEDO,PUTUMAYO,Vereda El Coqueto,0.704167,-76.443333,Rural,2004,10,86569,86
Hombre,Menor de 18 anos,Herido,"Pasando, estando cerca",Civil,no,Sin informacion,"(8.639326, -72.735541)",TIBU,NORTE DE SANTANDER,Sitio Porvenir,8.639326,-72.735541,Rural,2003,10,54810,54
Hombre,Mayor de 18 anos,Herido,"Pasando, estando cerca",Civil,no,Sin informacion,"(8.639326, -72.735541)",TIBU,NORTE DE SANTANDER,Sitio Porvenir,8.639326,-72.735541,Rural,2003,10,54810,54
Hombre,Mayor de 18 anos,Herido,"Pasando, estando cerca",Civil,no,Sin informacion,"(8.639326, -72.735541)",TIBU,NORTE DE SANTANDER,Sitio Porvenir,8.639326,-72.735541,Rural,2003,10,54810,54
Hombre,Mayor de 18 anos,Herido,"Pasando, estando cerca",Civil,no,Sin informacion,"(3.560095, -73.978411)",LEJANIAS,META,Vereda La Cristalina,3.560095,-73.978411,Rural,2005,1,50400,50
Hombre,Mayor de 18 anos,Herido,Fuerza publica,Fuerza publica,no,Sin informacion,"(5.017559, -72.747059)",TAURAMENA,CASANARE,Vereda Lagunita,5.017559,-72.747059,Rural,2002,11,85410,85
Hombre,Mayor de 18 anos,Herido,Fuerza publica,Fuerza publica,no,Sin informacion,"(5.459167, -75.375556)",PACORA,CALDAS,Vereda La Cumbre,5.459167,-75.375556,Rural,2005,9,17513,17
Hombre,Menor de 18 anos,Herido,"Pasando, estando cerca",Civil,no,Sin informacion,"(9.685015, -75.122094)",EL CARMEN DE BOLIVAR,BOLIVAR,En El Corregimiento De El Hobo,9.685015,-75.122094,Rural,2004,1,13244,13
Hombre,Mayor de 18 anos,Muerto,Fuerza publica,Fuerza publica,no,Sin informacion,"(3.773889, -71.3225)",PUERTO GAITAN,META,Vereda La Pradera,3.773889,-71.3225,Rural,2006,6,50568,50
Hombre,Mayor de 18 anos,Herido,Fuerza publica,Fuerza publica,no,Sin informacion,"(0.7925, -76.573333)",PUERTO CAICEDO,PUTUMAYO,Vereda La Joya,0.7925,-76.573333,Rural,2004,8,86569,86
Hombre,Mayor de 18 anos,Herido,Fuerza publica,Fuerza publica,no,Sin informacion,"(10.397047, -75.511207)",CARTAGENA DE INDIAS,BOLIVAR,Via A Zambrano,10.397047,-75.511207,Rural,2003,7,13001,13
Hombre,Mayor de 18 anos,Herido,Fuerza publica,Fuerza publica,no,Sin informacion,"(10.397047, -75.511207)",CARTAGENA DE INDIAS,BOLIVAR,Via A Zambrano,10.397047,-75.511207,Rural,2003,7,13001,13
Hombre,Mayor de 18 anos,Herido,Fuerza publica,Fuerza publica,no,Sin informacion,"(10.397047, -75.511207)",CARTAGENA DE INDIAS,BOLIVAR,Via A Zambrano,10.397047,-75.511207,Rural,2003,7,13001,13
Hombre,Mayor de 18 anos,Muerto,Fuerza publica,Fuerza publica,no,Sin informacion,"(10.397047, -75.511207)",CARTAGENA DE INDIAS,BOLIVAR,Via A Zambrano,10.397047,-75.511207,Rural,2003,7,13001,13
Hombre,Mayor de 18 anos,Herido,Fuerza publica,Fuerza publica,no,Sin informacion,"(10.397047, -75.511207)",CARTAGENA DE INDIAS,BOLIVAR,Via A Zambrano,10.397047,-75.511207,Rural,2003,7,13001,13
Hombre,Mayor de 18 anos,Herido,Fuerza publica,Fuerza publica,no,Sin informacion,"(10.397047, -75.511207)",CARTAGENA DE INDIAS,BOLIVAR,Via A Zambrano,10.397047,-75.511207,Rural,2003,7,13001,13
Hombre,Mayor de 18 anos,Herido,Fuerza publica,Fuerza publica,no,Sin informacion,"(2.744722, -75.030556)",SAN VICENTE DEL CAGUAN,CAQUETA,Sitio Visinia,2.744722,-75.030556,Rural,2004,8,18753,18
Hombre,Mayor de 18 anos,Herido,Fuerza publica,Fuerza publica,no,Sin informacion,"(2.744722, -75.030556)",SAN VICENTE DEL CAGUAN,CAQUETA,Sitio Visinia,2.744722,-75.030556,Rural,2004,8,18753,18
Hombre,Mayor de 18 anos,Herido,Fuerza publica,Fuerza publica,no,Sin informacion,"(1.818889, -76.800833)",SAN SEBASTIAN,CAUCA,Vereda La Cigarra,1.818889,-76.800833,Rural,2003,10,19693,19
Mujer,Mayor de 18 anos,Muerto,Sin Informacion,Civil,no,Sin informacion,"(10.99492, -74.225174)",CIENAGA,MAGDALENA,Vereda Sevillano,10.99492,-74.225174,Rural,1997,2,47189,47
Mujer,Mayor de 18 anos,Muerto,Sin Informacion,Civil,no,Sin informacion,"(10.99492, -74.225174)",CIENAGA,MAGDALENA,Vereda Sevillano,10.99492,-74.225174,Rural,1997,2,47189,47
Mujer,Mayor de 18 anos,Herido,Sin Informacion,Civil,no,Sin informacion,"(10.99492, -74.225174)",CIENAGA,MAGDALENA,Vereda Sevillano,10.99492,-74.225174,Rural,1997,2,47189,47
Mujer,Mayor de 18 anos,Herido,Sin Informacion,Civil,no,Sin informacion,"(10.99492, -74.225174)",CIENAGA,MAGDALENA,Vereda Sevillano,10.99492,-74.225174,Rural,1997,2,47189,47
Mujer,Mayor de 18 anos,Muerto,Sin Informacion,Civil,no,Sin informacion,"(10.99492, -74.225174)",CIENAGA,MAGDALENA,Vereda Sevillano,10.99492,-74.225174,Rural,1997,2,47189,47
Mujer,Mayor de 18 anos,Herido,Sin Informacion,Civil,no,Sin informacion,"(10.99492, -74.225174)",CIENAGA,MAGDALENA,Vereda Sevillano,10.99492,-74.225174,Rural,1997,2,47189,47
Mujer,Mayor de 18 anos,Herido,Sin Informacion,Civil,no,Sin informacion,"(10.99492, -74.225174)",CIENAGA,MAGDALENA,Vereda Sevillano,10.99492,-74.225174,Rural,1997,2,47189,47
Mujer,Mayor de 18 anos,Herido,Sin Informacion,Civil,no,Sin informacion,"(10.99492, -74.225174)",CIENAGA,MAGDALENA,Vereda Sevillano,10.99492,-74.225174,Rural,1997,2,47189,47
Mujer,Mayor de 18 anos,Herido,Sin Informacion,Civil,no,Sin informacion,"(10.99492, -74.225174)",CIENAGA,MAGDALENA,Vereda Sevillano,10.99492,-74.225174,Rural,1997,2,47189,47
Hombre,Mayor de 18 anos,Herido,"Pasando, estando cerca",Civil,no,Sin informacion,"(6.958339, -71.878277)",SARAVENA,ARAUCA,La Pajuila,6.958339,-71.878277,Rural,2004,7,81736,81
Hombre,Mayor de 18 anos,Herido,Agricultura,Civil,no,Sin informacion,"(2.451476, -76.810904)",EL TAMBO,CAUCA,Vereda Albania,2.451476,-76.810904,Rural,2005,2,19256,19
Hombre,Mayor de 18 anos,Muerto,Otra,Civil,no,Sin informacion,"(3.380464, -73.878772)",SAN JUAN DE ARAMA,META,Sin informacion,3.380464,-73.878772,Rural,2005,11,50683,50
Hombre,Mayor de 18 anos,Herido,Fuerza publica,Fuerza publica,no,Sin informacion,"(1.49494421255, -75.4630895064)",MONTANITA,CAQUETA,Sin informacion,1.49494421255,-75.4630895064,Rural,2002,3,18410,18
Hombre,Mayor de 18 anos,Herido,Fuerza publica,Fuerza publica,no,Sin informacion,"(2.390531, -75.892529)",LA PLATA,HUILA,Vereda San Jose,2.390531,-75.892529,Rural,1995,3,41396,41
Hombre,Mayor de 18 anos,Muerto,Fuerza publica,Fuerza publica,no,Sin informacion,"(2.564079, -72.640033)",SAN JOSE DEL GUAVIARE,GUAVIARE,Sitio La Esperanza,2.564079,-72.640033,Rural,1996,6,95001,95
Hombre,Mayor de 18 anos,Herido,Fuerza publica,Fuerza publica,no,Sin informacion,"(2.564079, -72.640033)",SAN JOSE DEL GUAVIARE,GUAVIARE,Sitio La Esperanza,2.564079,-72.640033,Rural,1996,6,95001,95
Hombre,Mayor de 18 anos,Herido,Fuerza publica,Fuerza publica,no,Sin informacion,"(1.83868, -76.768311)",SAN SEBASTIAN,CAUCA,Sin informacion,1.83868,-76.768311,Rural,2003,5,19693,19
Hombre,Mayor de 18 anos,Herido,Fuerza publica,Fuerza publica,no,Sin informacion,"(1.83868, -76.768311)",SAN SEBASTIAN,CAUCA,Sin informacion,1.83868,-76.768311,Rural,2003,5,19693,19
Hombre,Mayor de 18 anos,Herido,Fuerza publica,Fuerza publica,no,Sin informacion,"(2.3175, -73.309167)",SAN JOSE DEL GUAVIARE,GUAVIARE,Inspeccion Cachicamo,2.3175,-73.309167,Rural,2004,6,95001,95
Hombre,Mayor de 18 anos,Herido,"Pasando, estando cerca",Civil,no,Sin informacion,"(3.380464, -73.878772)",SAN JUAN DE ARAMA,META,Vereda Miraflores,3.380464,-73.878772,Rural,2005,1,50683,50
Hombre,Mayor de 18 anos,Herido,"Caza, pesca",Fuerza publica,no,Sin informacion,"(7.343889, -75.815278)",ITUANGO,ANTIOQUIA,Sitio Santa Lucia,7.343889,-75.815278,Rural,2006,7,5361,5
Hombre,Mayor de 18 anos,Herido,"Pasando, estando cerca",Civil,Indigena,Sin informacion,"(2.451476, -76.810904)",EL TAMBO,CAUCA,Vereda La Paloma,2.451476,-76.810904,Rural,2004,9,19256,19
Mujer,Mayor de 18 anos,Herido,Sin Informacion,Civil,no,Sin informacion,"(6.058001, -75.185085)",COCORNA,ANTIOQUIA,Sin informacion,6.058001,-75.185085,Rural,2002,12,5197,5
Mujer,Menor de 18 anos,Herido,Sin Informacion,Civil,no,Sin informacion,"(6.058001, -75.185085)",COCORNA,ANTIOQUIA,Sin informacion,6.058001,-75.185085,Rural,2002,12,5197,5
Hombre,Mayor de 18 anos,Herido,Fuerza publica,Fuerza publica,no,Sin informacion,"(8.639326, -72.735541)",TIBU,NORTE DE SANTANDER,Sin informacion,8.639326,-72.735541,Rural,2002,12,54810,54
Hombre,Mayor de 18 anos,Herido,Fuerza publica,Fuerza publica,no,Sin informacion,"(7.069722, -76.089444)",DABEIBA,ANTIOQUIA,Sector Cuchillon,7.069722,-76.089444,Rural,2007,11,5234,5
Hombre,Mayor de 18 anos,Herido,Fuerza publica,Fuerza publica,no,Sin informacion,"(7.069722, -76.089444)",DABEIBA,ANTIOQUIA,Sector Cuchillon,7.069722,-76.089444,Rural,2007,11,5234,5
Mujer,Mayor de 18 anos,Herido,Sin Informacion,Civil,no,Sin informacion,"(1.601816, -76.971412)",LA CRUZ,NARINO,Vereda Tajunbina,1.601816,-76.971412,Rural,2005,9,52378,52
Hombre,Mayor de 18 anos,Herido,Fuerza publica,Fuerza publica,no,Sin informacion,"(1.213889, -70.2325)",MITU,VAUPES,Sito Bocatoma,1.213889,-70.2325,Rural,2004,7,97001,97
Hombre,Mayor de 18 anos,Herido,Fuerza publica,Fuerza publica,no,Sin informacion,"(6.125278, -75.000278)",SAN LUIS,ANTIOQUIA,Vereda Santa Ines,6.125278,-75.000278,Rural,2004,10,5660,5
Hombre,Mayor de 18 anos,Herido,Fuerza publica,Fuerza publica,no,Sin informacion,"(5.304722, -74.4125)",LA PALMA,CUNDINAMARCA,"Cuchilla Las Lumbre,Sitio La Cuchilla",5.304722,-74.4125,Rural,2003,6,25394,25
Hombre,Mayor de 18 anos,Herido,Fuerza publica,Fuerza publica,no,Sin informacion,"(7.483919, -73.933361)",SAN PABLO,BOLIVAR,Cerca De Vereda La Loma,7.483919,-73.933361,Rural,1992,9,13670,13
Hombre,Menor de 18 anos,Muerto,Manipulacion,Civil,no,Sin informacion,"(5.237227, -75.784234)",ANSERMA,CALDAS,Vereda La Rica,5.237227,-75.784234,Rural,2001,1,17042,17
Mujer,Menor de 18 anos,Muerto,Manipulacion,Civil,no,Sin informacion,"(5.237227, -75.784234)",ANSERMA,CALDAS,Vereda La Rica,5.237227,-75.784234,Rural,2001,1,17042,17
Hombre,Mayor de 18 anos,Herido,Fuerza publica,Fuerza publica,no,Sin informacion,"(6.088333, -74.973889)",SAN LUIS,ANTIOQUIA,Vereda Los Planes,6.088333,-74.973889,Rural,2006,9,5660,5
Hombre,Mayor de 18 anos,Herido,Fuerza publica,Fuerza publica,no,Sin informacion,"(1.933889, -72.611667)",CALAMAR,GUAVIARE,Puerto Gaviota,1.933889,-72.611667,Rural,2007,8,95015,95
Hombre,Mayor de 18 anos,Herido,Sin Informacion,Civil,no,Sin informacion,"(6.730464, -74.927699)",YOLOMBO,ANTIOQUIA,Vereda Maracaibo,6.730464,-74.927699,Rural,2006,4,5890,5
Hombre,Menor de 18 anos,Herido,Sin Informacion,Civil,no,Sin informacion,"(7.171637, -75.764403)",ITUANGO,ANTIOQUIA,Sin informacion,7.171637,-75.764403,Rural,2001,10,5361,5
Hombre,Mayor de 18 anos,Herido,Fuerza publica,Fuerza publica,no,Sin informacion,"(2.298056, -77.034445)",PATIA,CAUCA,Sitio Don Alonso,2.298056,-77.034445,Rural,2006,2,19532,19
Hombre,Mayor de 18 anos,Herido,Sin Informacion,Civil,no,Sin informacion,"(7.171637, -75.764403)",ITUANGO,ANTIOQUIA,Vereda Quebrada Del Medio,7.171637,-75.764403,Rural,2004,1,5361,5
Hombre,Mayor de 18 anos,Herido,Fuerza publica,Fuerza publica,no,Sin informacion,"(9.388073, -75.263788)",LOS PALMITOS,SUCRE,Sin informacion,9.388073,-75.263788,Rural,2006,3,70418,70
Hombre,Mayor de 18 anos,Herido,Fuerza publica,Fuerza publica,no,Sin informacion,"(9.388073, -75.263788)",LOS PALMITOS,SUCRE,Sin informacion,9.388073,-75.263788,Rural,2006,3,70418,70
Hombre,Mayor de 18 anos,Herido,Fuerza publica,Fuerza publica,no,Sin informacion,"(9.388073, -75.263788)",LOS PALMITOS,SUCRE,Sin informacion,9.388073,-75.263788,Rural,2006,3,70418,70
Hombre,Mayor de 18 anos,Herido,"Pasando, estando cerca",Civil,no,Sin informacion,"(9.517463, -75.229197)",OVEJAS,SUCRE,Sin informacion,9.517463,-75.229197,Rural,2004,5,70508,70
Hombre,Mayor de 18 anos,Muerto,Viajando,Civil,no,Sin informacion,"(4.31929072258, -72.0846484097)",PUERTO GAITAN,META,Sector Mataperra,4.31929072258,-72.0846484097,Rural,2006,2,50568,50
Hombre,Mayor de 18 anos,Herido,Fuerza publica,Fuerza publica,no,Sin informacion,"(7.268891, -73.152703)",RIONEGRO,SANTANDER,Sitio Los Cocos,7.268891,-73.152703,Rural,1994,3,68615,68
Hombre,Mayor de 18 anos,Herido,"Pasando, estando cerca",Civil,no,Sin informacion,"(6.042723, -74.994899)",SAN LUIS,ANTIOQUIA,Vereda San Antonio,6.042723,-74.994899,Rural,2005,7,5660,5
Hombre,Mayor de 18 anos,Herido,Fuerza publica,Fuerza publica,no,Sin informacion,"(1.621012, -75.619118)",FLORENCIA,CAQUETA,Vereda Santana De Las Hermosas,1.621012,-75.619118,Rural,1996,4,18001,18
Hombre,Menor de 18 anos,Muerto,Sin Informacion,Civil,no,Sin informacion,"(5.017559, -72.747059)",TAURAMENA,CASANARE,Caserio El Palmar,5.017559,-72.747059,Rural,2002,2,85410,85
Hombre,Mayor de 18 anos,Muerto,Viajando,Civil,no,Sin informacion,"(5.017559, -72.747059)",TAURAMENA,CASANARE,Caserio El Palmar,5.017559,-72.747059,Rural,2002,2,85410,85
Hombre,Menor de 18 anos,Muerto,Viajando,Civil,no,Sin informacion,"(5.017559, -72.747059)",TAURAMENA,CASANARE,Caserio El Palmar,5.017559,-72.747059,Rural,2002,2,85410,85
Hombre,Menor de 18 anos,Muerto,Viajando,Civil,no,Sin informacion,"(5.017559, -72.747059)",TAURAMENA,CASANARE,Caserio El Palmar,5.017559,-72.747059,Rural,2002,2,85410,85
Hombre,Menor de 18 anos,Muerto,Viajando,Civil,no,Sin informacion,"(5.017559, -72.747059)",TAURAMENA,CASANARE,Caserio El Palmar,5.017559,-72.747059,Rural,2002,2,85410,85
Hombre,Mayor de 18 anos,Herido,Sin Informacion,Civil,no,Sin informacion,"(7.882098, -76.625111)",APARTADO,ANTIOQUIA,Corregimiento Nueva Antioquia,7.882098,-76.625111,Rural,2003,3,5045,5
Hombre,Mayor de 18 anos,Muerto,Fuerza publica,Fuerza publica,no,Sin informacion,"(2.768056, -76.923333)",EL TAMBO,CAUCA,Vereda Las Palmas,2.768056,-76.923333,Rural,2007,12,19256,19
Hombre,Mayor de 18 anos,Herido,Fuerza publica,Fuerza publica,no,Sin informacion,"(2.768056, -76.923333)",EL TAMBO,CAUCA,Vereda Las Palmas,2.768056,-76.923333,Rural,2007,12,19256,19
Hombre,Mayor de 18 anos,Herido,Fuerza publica,Fuerza publica,no,Sin informacion,"(2.768056, -76.923333)",EL TAMBO,CAUCA,Vereda Las Palmas,2.768056,-76.923333,Rural,2007,12,19256,19
Hombre,Mayor de 18 anos,Herido,Fuerza publica,Fuerza publica,no,Sin informacion,"(7.023186, -71.384978)",ARAUQUITA,ARAUCA,Sitio Las Casetas,7.023186,-71.384978,Rural,2003,12,81065,81
Hombre,Menor de 18 anos,Herido,Sin Informacion,Civil,no,Sin informacion,"(6.229209, -75.564887)",MEDELLIN,ANTIOQUIA,Quebrada El Burro,6.229209,-75.564887,Urbana,2001,10,5001,5
Mujer,Menor de 18 anos,Muerto,Sin Informacion,Civil,no,Sin informacion,"(5.666284, -75.714279)",TAMESIS,ANTIOQUIA,Vereda Corozal,5.666284,-75.714279,Rural,1992,11,5789,5
Mujer,Menor de 18 anos,Herido,Sin Informacion,Civil,no,Sin informacion,"(5.666284, -75.714279)",TAMESIS,ANTIOQUIA,Vereda Corozal,5.666284,-75.714279,Rural,1992,11,5789,5
